Date,AAPL,JPM,MSFT,SPY
2021-05-28,121.57575988769531,145.48597717285156,240.13604736328125,393.3816833496094
2021-06-01,121.25377655029297,147.0892791748047,237.94322204589844,393.0351257324219
2021-06-02,122.0147705078125,147.0981903076172,237.84707641601562,393.6531982421875
2021-06-03,120.53179168701172,147.19558715820312,236.31784057617188,392.1922302246094
2021-06-04,122.82456970214844,147.43478393554688,241.20362854003906,395.7791748046875
2021-06-07,122.83434295654297,146.74380493164062,244.1082000732422,395.39520263671875
2021-06-08,123.65384674072266,146.15919494628906,242.9156036376953,395.4794616699219
2021-06-09,124.03437042236328,144.3344268798828,243.8966064453125,394.889404296875
2021-06-10,123.03921508789062,142.08445739746094,247.40707397460938,396.7249450683594
2021-06-11,124.2490234375,141.9870147705078,248.0322723388672,397.380615234375
2021-06-14,127.30282592773438,139.57757568359375,249.95582580566406,398.270263671875
2021-06-15,126.48326110839844,137.46051025390625,248.48428344726562,397.53985595703125
2021-06-16,126.98085021972656,138.42605590820312,247.54173278808594,395.3202209472656
2021-06-17,128.58087158203125,134.43101501464844,250.92718505859375,395.1890869140625
2021-06-18,127.28328704833984,131.02947998046875,249.51336669921875,389.8578796386719
2021-06-21,129.07850646972656,133.25286865234375,252.59109497070312,395.4390869140625
2021-06-22,130.7175750732422,133.0580291748047,255.3608856201172,397.5531311035156
2021-06-23,130.4443817138672,133.86407470703125,255.13015747070312,397.073974609375
2021-06-24,130.1614990234375,135.0953369140625,256.4958801269531,399.4230041503906
2021-06-25,129.86875915527344,136.45953369140625,254.88973999023438,400.84173583984375
2021-06-28,131.4981231689453,136.70758056640625,258.44830322265625,401.6497497558594
2021-06-29,133.0103759765625,136.5392608642578,261.0258483886719,401.8658447265625
2021-06-30,133.62501525878906,137.7794189453125,260.54486083984375,402.2042236328125
2021-07-01,133.92747497558594,139.14353942871094,261.21820068359375,404.4309997558594
2021-07-02,136.55197143554688,139.0099334716797,267.036865234375,407.52227783203125
2021-07-06,138.5618133544922,136.67568969726562,267.0465393066406,406.7799377441406
2021-07-07,141.04969787597656,136.8360595703125,269.229736328125,408.21759033203125
2021-07-08,139.7521209716797,134.47512817382812,266.8157043457031,404.8914489746094
2021-07-09,141.5765838623047,138.77822875976562,267.31585693359375,409.2135314941406
2021-07-12,140.98146057128906,140.7650146484375,266.7196044921875,410.6793212890625
2021-07-13,142.09364318847656,138.67132568359375,270.2395935058594,409.2792663574219
2021-07-14,145.51820373535156,138.1991729736328,271.7110595703125,409.8900451660156
2021-07-15,144.864501953125,138.50210571289062,270.2877197265625,408.4901428222656
2021-07-16,142.8253936767578,135.3393096923828,270.0184326171875,405.28607177734375
2021-07-19,138.98133850097656,130.9381866455078,266.42144775390625,399.30078125
2021-07-20,142.59124755859375,133.37930297851562,268.6430969238281,405.02294921875
2021-07-21,141.8594970703125,136.1857147216797,270.6435241699219,408.3021545410156
2021-07-22,143.2254180908203,134.46620178222656,275.20233154296875,409.1572265625
2021-07-23,144.9425811767578,134.2078399658203,278.5975036621094,413.3665466308594
2021-07-26,145.3621063232422,135.10768127441406,278.0010986328125,414.38140869140625
2021-07-27,143.19613647460938,134.9294891357422,275.5870361328125,412.4927673339844
2021-07-28,141.4497528076172,135.1522216796875,275.279296875,412.3236083984375
2021-07-29,142.09364318847656,136.31039428710938,275.54864501953125,414.0336608886719
2021-07-30,142.30825805664062,135.2235107421875,274.0194091796875,412.0229797363281
2021-08-02,141.97657775878906,134.68002319335938,273.9328308105469,411.1585388183594
2021-08-03,143.7717742919922,136.21241760253906,276.14495849609375,414.5035095214844
2021-08-04,143.3717803955078,134.74241638183594,275.5582275390625,412.4646301269531
2021-08-05,143.4790496826172,136.44407653808594,278.4532165527344,415.07666015625
2021-08-06,142.79507446289062,140.3195343017578,278.3954772949219,415.76251220703125
2021-08-09,142.74623107910156,140.1680908203125,277.3086853027344,415.42431640625
2021-08-10,142.2675018310547,141.88758850097656,275.4909362792969,415.9410705566406
2021-08-11,142.521484375,143.58033752441406,275.9814453125,416.9747009277344
2021-08-12,145.482177734375,144.14154052734375,278.7320861816406,418.2242736816406
2021-08-13,145.68736267089844,142.52903747558594,281.6559143066406,418.9853820800781
2021-08-16,147.66111755371094,141.59352111816406,283.3389892578125,419.97198486328125
2021-08-17,146.75241088867188,139.88302612304688,281.8771057128906,417.2189636230469
2021-08-18,143.0100860595703,138.60899353027344,280.1521911621094,412.6524353027344
2021-08-19,143.34225463867188,137.45079040527344,285.9725036621094,413.29144287109375
2021-08-20,144.7982177734375,137.84280395507812,293.2863464355469,416.5800476074219
2021-08-23,146.2834014892578,139.60679626464844,293.5657653808594,420.2444152832031
2021-08-24,146.1954345703125,140.4710235595703,291.6096496582031,420.9115295410156
2021-08-25,144.9643096923828,143.36648559570312,291.0218505859375,421.7947998046875
2021-08-26,144.1630859375,144.10595703125,288.20806884765625,419.3049011230469
2021-08-27,145.1988067626953,145.26414489746094,288.815185546875,423.0538330078125
2021-08-30,149.61538696289062,142.93887329101562,292.5443115234375,424.91424560546875
2021-08-31,148.3548583984375,142.5023193359375,290.8965148925781,424.28472900390625
2021-09-01,149.01930236816406,142.29739379882812,290.84832763671875,424.5102233886719
2021-09-02,150.13320922851562,142.9566650390625,290.1930847167969,425.8162536621094
2021-09-03,150.76834106445312,142.0924835205078,290.18353271484375,425.712890625
2021-09-07,153.10365295410156,141.843017578125,289.2583923339844,424.1907043457031
2021-09-08,151.559814453125,141.21046447753906,289.2872619628906,423.67401123046875
2021-09-09,150.54359436035156,141.8251953125,286.4350280761719,421.8605651855469
2021-09-10,145.5603485107422,140.19483947753906,284.9510498046875,418.53436279296875
2021-09-13,146.12704467773438,142.42213439941406,286.1844482421875,419.6055603027344
2021-09-14,144.72976684570312,139.93646240234375,288.8826599121094,417.3410949707031
2021-09-15,145.6189422607422,140.90756225585938,293.7295837402344,420.8269348144531
2021-09-16,145.38446044921875,140.84519958496094,294.1151428222656,420.1598815917969
2021-09-17,142.71690368652344,140.47994995117188,288.9597473144531,416.0669860839844
2021-09-20,139.66835021972656,136.27481079101562,283.59234619140625,409.1294860839844
2021-09-21,140.14715576171875,136.2926025390625,284.0741882324219,408.7430419921875
2021-09-22,142.51174926757812,138.9029998779297,287.71661376953125,412.73016357421875
2021-09-23,143.4692840576172,143.59808349609375,288.6610107421875,417.74493408203125
2021-09-24,143.55728149414062,145.25521850585938,288.4586486816406,418.43304443359375
2021-09-27,142.04275512695312,148.76547241210938,283.4671325683594,417.2359619140625
2021-09-28,138.6619415283203,147.96363830566406,273.2046203613281,408.82781982421875
2021-09-29,139.56089782714844,147.8478240966797,273.6670837402344,409.51593017578125
2021-09-30,138.26129150390625,145.83432006835938,271.6628112792969,404.5107421875
2021-10-01,139.385009765625,148.8991241455078,278.5815734863281,409.3179626464844
2021-10-04,135.95533752441406,148.73875427246094,272.8094177246094,404.0394287109375
2021-10-05,137.8802490234375,151.16766357421875,278.25390625,408.24346923828125
2021-10-06,138.74984741210938,151.4903564453125,282.44561767578125,409.9400939941406
2021-10-07,140.01034545898438,152.44937133789062,284.122314453125,413.4842834472656
2021-10-08,139.62925720214844,152.5658416748047,284.122314453125,412.73016357421875
2021-10-11,139.5413360595703,149.35716247558594,283.5248718261719,409.7421569824219
2021-10-12,138.27110290527344,148.2099151611328,282.2239685058594,408.73358154296875
